City;EVcount
Adana;6812
Adıyaman;338
Afyonkarahisar;1820
Aksaray;803
Amasya;535
Ankara;56785
Antalya;20596
Ardahan;48
Artvin;177
Aydın;3829
Ağrı;75
Balıkesir;3694
Bartın;244
Batman;457
Bayburt;97
Bilecik;497
Bingöl;144
Bitlis;92
Bolu;1048
Burdur;687
Bursa;19676
Denizli;4701
Diyarbakır;1897
Düzce;992
Edirne;1026
Elazığ;1627
Erzincan;278
Erzurum;1191
Eskişehir;3777
Gaziantep;6306
Giresun;681
Gümüşhane;122
Hakkari;18
Hatay;2187
Isparta;1699
Iğdır;69
Kahramanmaraş;1972
Karabük;478
Karaman;445
Kars;91
Kastamonu;394
Kayseri;6691
Kilis;101
Kocaeli;10593
Konya;8520
Kütahya;1101
Kırklareli;736
Kırıkkale;344
Kırşehir;328
Malatya;1236
Manisa;3284
Mardin;541
Mersin;6405
Muğla;5973
Muş;77
Nevşehir;798
Niğde;401
Ordu;1295
Osmaniye;645
Rize;855
Sakarya;4458
Samsun;4394
Siirt;116
Sinop;242
Sivas;1302
Tekirdağ;3662
Tokat;678
Trabzon;2820
Tunceli;67
Uşak;930
Van;576
Yalova;1494
Yozgat;415
Zonguldak;978
Çanakkale;1764
Çankırı;245
Çorum;691
Istanbul;152046
İzmir;31909
Şanlıurfa;1110
Şırnak;88
